ID_REF	VALUE
7901495	4.5
7901712	3.99
7903026	3.01
7904867	2.89
7904946	2.89
7905039	3.5
7906233	3.45
7907464	5.87
7907747	3.24
7908155	4.49
7909125	3.87
7909283	11.69
7910676	7.26
7910946	3.29
7911094	2.88
7911108	6.34
7912207	5.08
7912625	3.68
7913799	3.03
7913803	3.24
7914038	4.28
7914139	9.15
7914350	6.38
7914807	4.23
7916075	4.78
7916491	4.7
7917735	3.08
7917739	4.77
7918153	8.16
7919153	5.67
7919403	5.67
7919574	3.43
7919778	3.96
7920025	7.44
7923003	2.87
7923440	6.58
7924205	3.27
7925126	3.56
7925318	4.06
7925440	5.09
7926383	4.73
7927548	10.72
7927706	7.42
7928328	2.9
7931928	2.96
7932614	3.75
7933088	3.63
7933178	7.28
7935142	4.75
7936282	3.44
7939640	4.28
7942061	5.29
7943734	3.27
7944111	4.74
7945031	6.16
7945728	3.71
7946659	5.44
7947932	3.63
7948033	5.67
7948139	3.58
7948397	5.29
7950030	4.69
7950282	7.53
7951349	5.42
7951435	10.15
7951668	5.38
7952396	5.26
7953761	3.93
7953763	6.45
7954602	6.14
7955421	3.89
7957006	3.55
7957497	3.56
7959572	3.39
7959823	3.49
7959825	4.57
7960359	12.78
7960846	3.88
7960863	7.4
7962248	3.79
7963588	3.94
7964598	4.76
7964629	3.71
7964685	3.29
7964720	2.96
7965842	9.19
7966425	5.74
7967032	6.87
7968252	6.91
7968970	3.3
7970945	3.56
7971124	10.19
7971367	3.39
7971903	2.97
7972414	4.5
7972709	4.13
7974192	3.09
7974687	2.89
7976152	6.82
7977117	3.5
7978909	7.62
7979131	6.49
7980688	3.31
7981779	3.23
7982935	10.9
7983270	3.6
7983377	3.05
7983391	3.14
7984188	6.72
7986635	3.72
7987308	3.07
7988342	4.95
7988344	5.02
7988348	3.06
7988412	4.96
7990806	2.83
7992067	6.66
7992131	5.82
7992136	6.61
7992742	3.5
7992841	6.23
7995523	4.99
7999171	5.1
8000614	3.32
8001183	3.07
8001348	5.95
8002027	5.86
8003226	4.67
8003857	7.97
8003889	5.39
8005433	7.51
8005992	3.1
8006081	7.85
8007497	3.73
8007499	3.61
8007501	5.2
8007605	3.06
8009006	4.93
8010186	5.55
8010210	3.75
8012841	6.74
8015796	9.3
8016733	10.23
8020453	4.56
8021013	5.37
8021683	3.25
8022043	8.45
8022174	4.13
8023061	6.61
8023547	3.06
8023644	3.55
8023755	4.56
8027266	4.38
8027429	8.8
8027437	6.8
8028002	5.89
8029278	5.44
8030826	4.57
8035787	4.31
8035859	6.32
8036170	5.06
8036172	7.05
8036557	11.82
8040336	4.3
8041636	5.54
8042460	3.64
8043022	4.73
8043024	3.14
8048108	7.42
8049073	11.5
8049235	3.68
8052303	3.01
8052592	5.36
8053404	2.81
8055137	5.57
8055309	7.55
8057032	2.96
8057561	11.03
8058145	3.41
8061068	4.38
8061092	4.32
8061881	6.37
8063349	4.34
8063549	7.78
8065163	3
8065198	3.09
8065332	5.26
8065990	4.32
8066273	4.59
8066528	7.13
8067948	4.88
8068020	4.83
8068610	5.77
8068733	3.79
8069206	3.93
8070871	4.45
8070930	6.04
8071202	3.63
8072775	5.75
8074059	5.08
8075308	3.85
8075776	4.89
8077351	6.84
8078185	5.48
8078384	3.26
8079151	6.32
8079588	4.11
8082795	6.16
8083061	4.7
8085768	5.94
8086370	2.7
8086515	4.97
8088476	3.72
8090662	7.04
8091118	5.26
8091186	3.13
8091239	3.05
8093035	6.57
8093037	5.48
8094355	5.25
8094686	5.16
8094986	4
8095159	8.25
8095758	9.59
8096413	3.49
8096531	3.23
8097285	3.69
8097447	6.92
8097936	7.53
8098004	3.01
8098463	3.93
8099140	3.43
8099922	7.76
8100123	2.92
8100290	3.5
8100454	3.66
8101778	5.84
8103849	3.1
8104129	6.65
8104659	3.52
8105061	9.12
8105300	6.87
8105321	6.88
8108433	4.84
8109595	5.8
8109661	3.65
8112018	9.02
8112609	5.26
8112855	3.51
8114898	5.87
8115010	3.22
8115873	5.76
8116346	6.34
8119076	7.23
8119856	3.4
8121142	3.49
8121269	6.79
8121330	6.47
8121332	3.01
8121483	5.45
8123712	3.86
8124329	4.82
8124846	4.7
8125443	4.14
8125445	4.56
8126033	5.93
8126358	4.69
8126627	6.06
8127107	8.09
8127143	3.91
8127688	2.97
8127690	5.5
8130183	3.73
8131867	8.23
8132501	7.22
8134345	3.29
8135214	3.37
8137040	3.65
8137466	4.93
8138084	6.82
8139017	4.1
8140166	6
8140168	4.53
8140855	3.04
8142876	4.48
8145795	7.17
