ID_REF	VALUE
7901495	5.32
7901712	4.02
7903026	2.89
7904867	2.82
7904946	2.82
7905039	3.35
7906233	3.43
7907464	6.16
7907747	3.01
7908155	4.59
7909125	3.8
7909283	10.9
7910676	7.22
7910946	3.02
7911094	3.1
7911108	5.98
7912207	4.86
7912625	3.45
7913799	2.95
7913803	5.18
7914038	4.26
7914139	9.17
7914350	6.29
7914807	4.1
7916075	5.32
7916491	4.66
7917735	3.05
7917739	5.65
7918153	8.05
7919153	4.34
7919403	4.34
7919574	3.51
7919778	3.71
7920025	7.47
7923003	2.95
7923440	6.68
7924205	3.61
7925126	3.49
7925318	4.82
7925440	5.1
7926383	4.19
7927548	10.76
7927706	6.94
7928328	2.93
7931928	3.21
7932614	4.11
7933088	3.56
7933178	7.71
7935142	4.66
7936282	3.13
7939640	4.29
7942061	4.9
7943734	3.48
7944111	4.81
7945031	5.01
7945728	3.57
7946659	5.55
7947932	3.51
7948033	5.76
7948139	3.7
7948397	5.88
7950030	4.34
7950282	7.32
7951349	4.96
7951435	10.03
7951668	5.11
7952396	5.1
7953761	4.07
7953763	6.35
7954602	6.87
7955421	3.25
7957006	3.57
7957497	3.67
7959572	3.64
7959823	3.32
7959825	4.27
7960359	13
7960846	3.93
7960863	7.46
7962248	3.91
7963588	3.51
7964598	4.81
7964629	3.63
7964685	3.27
7964720	2.92
7965842	8.96
7966425	4.58
7967032	6.65
7968252	6.96
7968970	3.76
7970945	3.53
7971124	9.97
7971367	3.75
7971903	2.87
7972414	4.78
7972709	3.76
7974192	2.92
7974687	2.6
7976152	6.74
7977117	4.67
7978909	7.24
7979131	7.74
7980688	3.26
7981779	3.13
7982935	10.53
7983270	3.45
7983377	2.84
7983391	3.27
7984188	7.31
7986635	3.63
7987308	3.03
7988342	5.47
7988344	5.22
7988348	3.19
7988412	5.03
7990806	2.82
7992067	6.31
7992131	5.96
7992136	6.66
7992742	3.57
7992841	6.22
7995523	5.04
7999171	5.33
8000614	3.72
8001183	2.89
8001348	5.82
8002027	5.71
8003226	4.67
8003857	7.64
8003889	5.86
8005433	7.27
8005992	3.04
8006081	7.31
8007497	3.27
8007499	3.62
8007501	4.98
8007605	3.8
8009006	4.58
8010186	5.23
8010210	3.87
8012841	5.44
8015796	9.6
8016733	10.28
8020453	4.55
8021013	5.24
8021683	3.37
8022043	8.27
8022174	4.05
8023061	6.43
8023547	2.96
8023644	3.61
8023755	4.1
8027266	4.68
8027429	8.61
8027437	6.77
8028002	6.23
8029278	5.21
8030826	4.73
8035787	4.17
8035859	6.62
8036170	5.55
8036172	7.07
8036557	11.84
8040336	3.85
8041636	5.75
8042460	3.3
8043022	4.64
8043024	3.16
8048108	7.9
8049073	11.41
8049235	3.72
8052303	3.06
8052592	4.72
8053404	2.9
8055137	4.32
8055309	7.55
8057032	3.24
8057561	11.03
8058145	3.49
8061068	4.25
8061092	4.15
8061881	6.53
8063349	4.17
8063549	7.72
8065163	3.11
8065198	3.13
8065332	5.37
8065990	4.33
8066273	4.48
8066528	7.38
8067948	4.85
8068020	4.01
8068610	6.33
8068733	3.92
8069206	3.68
8070871	4.39
8070930	6.52
8071202	3.71
8072775	4.41
8074059	5.03
8075308	3.51
8075776	5.31
8077351	6.98
8078185	5.32
8078384	3.46
8079151	7.09
8079588	3.55
8082795	6.09
8083061	4.91
8085768	6.06
8086370	2.91
8086515	3.61
8088476	4.13
8090662	7.43
8091118	5.04
8091186	3.54
8091239	3.8
8093035	6.41
8093037	5.05
8094355	5.18
8094686	4.66
8094986	3.83
8095159	8.11
8095758	9.13
8096413	3.52
8096531	3.32
8097285	3.39
8097447	6.38
8097936	7.55
8098004	2.91
8098463	3.84
8099140	3.23
8099922	8.15
8100123	2.9
8100290	3.3
8100454	3.57
8101778	5.54
8103849	2.92
8104129	6.26
8104659	3.42
8105061	10.69
