ID_REF	VALUE
7901495	4.19
7901712	4.08
7903026	3.04
7904867	2.73
7904946	2.73
7905039	3.41
7906233	3.27
7907464	5.57
7907747	3.18
7908155	4.84
7909125	3.75
7909283	8.64
7910676	7.11
7910946	3
7911094	2.8
7911108	6.45
7912207	5.17
7912625	3.52
7913799	3.02
7913803	4.35
7914038	4.29
7914139	8.72
7914350	6.89
7914807	3.31
7916075	4.6
7916491	5.41
7917735	3.06
7917739	4.77
7918153	7.88
7919153	4.54
7919403	4.54
7919574	3.45
7919778	3.41
7920025	7.51
7923003	3.07
7923440	6.98
7924205	3.24
7925126	3.62
7925318	4.52
7925440	5.31
7926383	4.19
7927548	9.96
7927706	6.58
7928328	2.8
7931928	3.18
7932614	4.04
7933088	3.64
7933178	7.69
7935142	4.59
7936282	2.98
7939640	4.56
7942061	5.32
7943734	3.78
7944111	5.02
7945031	4.77
7945728	4.16
7946659	6.01
7947932	3.36
7948033	5.94
7948139	3.26
7948397	5.36
7950030	4.82
7950282	7.38
7951349	5.09
7951435	8.76
7951668	4.77
7952396	5.69
7953761	4.27
7953763	6.57
7954602	6.72
7955421	2.98
7957006	3.69
7957497	3.33
7959572	3.05
7959823	3.21
7959825	4.4
7960359	12.57
7960846	3.9
7960863	7.11
7962248	4.09
7963588	3.85
7964598	5
7964629	3.87
7964685	3.57
7964720	2.8
7965842	9.32
7966425	5.26
7967032	6.6
7968252	7.24
7968970	3.88
7970945	3.6
7971124	10.29
7971367	3.65
7971903	2.69
7972414	4.71
7972709	4.02
7974192	3.08
7974687	3.26
7976152	6.62
7977117	3.77
7978909	7.33
7979131	7.46
7980688	3.68
7981779	3.12
7982935	9.95
7983270	3.25
7983377	2.8
7983391	3.14
7984188	7.44
7986635	3.74
7987308	3.01
7988342	5.26
7988344	5
7988348	3.28
7988412	5.35
7990806	2.7
7992067	7.09
7992131	6
7992136	6.99
7992742	3.44
7992841	6.97
7995523	5.05
7999171	5.18
8000614	3.96
8001183	3.31
8001348	6.25
8002027	5.89
8003226	4.88
8003857	8.26
8003889	4.92
8005433	7.9
8005992	2.92
8006081	8.03
8007497	3.35
8007499	4.15
8007501	4.59
8007605	3.02
8009006	4.58
8010186	6.05
8010210	4.04
8012841	6.34
8015796	9.03
8016733	10.38
8020453	4.52
8021013	5.57
8021683	3.35
8022043	9.08
8022174	4.19
8023061	6.46
8023547	2.97
8023644	3.75
8023755	4.97
8027266	4.41
8027429	8.03
8027437	7.56
8028002	5.79
8029278	4.37
8030826	4.81
8035787	4.05
8035859	6.41
8036170	5.82
8036172	7.17
8036557	11.39
8040336	3.77
8041636	4.57
8042460	3.1
8043022	5.32
8043024	3.16
8048108	8.14
8049073	11.08
8049235	3.87
8052303	3.07
8052592	5.05
8053404	2.94
8055137	5.28
8055309	7.62
8057032	3.13
8057561	10.59
8058145	3.27
8061068	4.21
