ID_REF	VALUE
7901495	4.37
7901712	3.89
7903026	2.95
7904867	2.56
7904946	2.56
7905039	2.96
7906233	4.32
7907464	5.68
7907747	3.03
7908155	4.51
7909125	3.87
7909283	8.75
7910676	7.33
7910946	2.89
7911094	3.17
7911108	6.29
7912207	4.99
7912625	3.66
7913799	3.13
7913803	3.61
7914038	4.25
7914139	9.34
7914350	6.53
7914807	2.95
7916075	3.96
7916491	4.21
7917735	3.16
7917739	4.72
7918153	8.11
7919153	4.65
7919403	4.65
7919574	3.57
7919778	3.93
7920025	7.28
7923003	2.95
7923440	7.66
7924205	3.32
7925126	3.8
7925318	4.11
7925440	5.13
7926383	4.19
7927548	10.9
7927706	5.95
7928328	2.79
7931928	2.98
7932614	3.45
7933088	3.42
7933178	7.6
7935142	5.5
7936282	2.9
7939640	3.94
7942061	5.1
7943734	3.31
7944111	4.94
7945031	4.52
7945728	3.65
7946659	5.31
7947932	3.51
7948033	5.26
7948139	4.2
7948397	6.14
7950030	4.42
7950282	7.02
7951349	5.8
7951435	9.88
7951668	4.75
7952396	5.15
7953761	3.9
7953763	6.49
7954602	6.57
7955421	3.29
7957006	3.39
7957497	3.38
7959572	3
7959823	3.34
7959825	4.29
7960359	12.57
7960846	3.64
7960863	7.32
7962248	3.7
7963588	3.5
7964598	4.46
7964629	3.8
7964685	3.46
7964720	2.93
7965842	9.32
7966425	4.45
7967032	6.51
7968252	6.98
7968970	3.36
7970945	3.53
7971124	9.84
7971367	3.29
7971903	2.83
7972414	4.4
7972709	3.91
7974192	2.99
7974687	3
7976152	6.17
7977117	3.55
7978909	7.56
7979131	6.33
7980688	3.61
7981779	3.31
7982935	10.67
7983270	3.01
7983377	2.91
7983391	3.15
7984188	7.03
7986635	3.56
7987308	2.89
7988342	4.37
7988344	4.74
7988348	3.24
7988412	4.96
7990806	2.85
7992067	6.77
7992131	5.94
7992136	6.94
7992742	3.7
7992841	6.8
7995523	5.85
7999171	5.35
8000614	4.11
8001183	3.08
8001348	5.78
8002027	5.66
8003226	4.47
8003857	7.83
8003889	5.55
8005433	7.65
8005992	3.04
8006081	7.07
8007497	3.36
8007499	3.89
8007501	4.51
8007605	2.85
8009006	4.61
8010186	5.79
8010210	3.62
8012841	6.34
8015796	10
8016733	10.1
8020453	4.7
8021013	5.15
8021683	3.32
8022043	8.77
8022174	3.97
8023061	6.49
8023547	3.08
8023644	3.29
8023755	3.6
8027266	4.38
8027429	7.12
8027437	7.15
8028002	6.17
8029278	4.71
8030826	4.59
8035787	3.73
8035859	6.82
8036170	5.56
8036172	7.08
8036557	11.76
8040336	3.89
8041636	4.78
8042460	3.12
8043022	5.69
8043024	3.01
8048108	7.9
8049073	11.34
8049235	3.56
8052303	3
8052592	4.81
8053404	3.07
8055137	4.97
8055309	7.78
8057032	3.06
8057561	10.68
8058145	3.08
8061068	4.32
8061092	4.3
8061881	6.74
8063349	4.05
8063549	7.66
8065163	3.08
8065198	3
8065332	5.2
8065990	3.9
8066273	4.7
8066528	6.36
8067948	5.09
8068020	4.16
8068610	5.28
8068733	3.87
8069206	3.61
8070871	4.78
8070930	6.36
8071202	3.48
8072775	4.14
8074059	5.07
8075308	3.31
8075776	4.82
8077351	7.12
8078185	5.31
8078384	3.14
8079151	5.85
8079588	3.57
8082795	5.12
8083061	4.89
8085768	5.89
8086370	2.81
8086515	4.15
8088476	3.23
8090662	6.46
8091118	4.93
8091186	3.32
8091239	3.48
8093035	6.56
8093037	4.18
8094355	5.69
8094686	5.04
8094986	4.61
8095159	7.44
8095758	9.14
8096413	3.51
8096531	3.2
8097285	3.89
8097447	7.22
8097936	7.38
8098004	2.87
8098463	3.62
8099140	3.39
8099922	6.62
8100123	2.81
8100290	3.11
8100454	3.23
8101778	5.91
8103849	3.04
8104129	5.99
8104659	3.43
8105061	7.62
8105300	6.33
8105321	7.26
8108433	3.76
8109595	5.87
8109661	3.84
8112018	8.84
8112609	5.72
8112855	3.09
8114898	5.44
8115010	3.03
8115873	5.65
8116346	6.34
8119076	6.77
8119856	3.33
8121142	3.39
8121269	6.24
8121330	5.61
8121332	3.66
8121483	4.53
8123712	4.62
8124329	4.21
8124846	5.33
8125443	4.16
8125445	4.8
8126033	6.08
8126358	4.83
8126627	5.55
8127107	6.49
8127143	4.15
8127688	2.83
8127690	5.66
8130183	3.7
8131867	8.06
8132501	6.43
8134345	3.38
8135214	3.37
8137040	4.06
8137466	5.17
8138084	5.54
8139017	3.12
8140166	5.85
8140168	4.21
8140855	3.03
8142876	4.6
8145795	7.83
8146322	4.52
8146328	6.78
8146754	3.48
8147047	4.12
8148461	4.06
8150087	10
8151213	3.93
8152626	6.94
8152922	2.97
8154361	2.95
8154763	6.72
8155881	3.17
8156110	4.13
8156579	5.05
8156969	3.09
8157485	3.43
8157605	10.52
8157888	4.02
8158511	4.26
8158910	6.95
8161421	7.62
8161646	3.05
8162823	6.07
8164129	6.13
8166583	3.34
8167161	5.31
8168735	3.29
8169638	4.95
8170230	3.5
8171881	2.93
8172270	7.82
8173164	5.38
8173522	4.72
8173627	6.05
8174494	2.81
8176469	4.74
8176779	5.19
8176947	3.46
8177116	5.15
8177118	4.84
8177387	3.46
7981730	7.79
8139460	7.39
8140739	6.64
8101322	5.48
8130827	6.24
8130824	6.55
8140269	9.44
8140258	9.57
8113103	6.93
8163666	4.71
8085122	6.49
8021152	5.59
8168727	5.74
7945734	6.47
8094542	5.21
7931824	5.13
8135015	5.89
8143766	7.03
8006779	7.23
7904965	10.53
8107321	8.49
8071357	6.48
8076561	7.23
8074591	5.25
8074769	4.65
8071981	8.2
7978056	5.82
8138592	7.18
8169235	5.36
8024888	6.21
8012958	6.78
8152865	6.45
8103644	5.04
8105318	4.94
8043433	8.57
8165669	12.97
7970828	6.32
7944601	4.93
8101501	4.5
8008564	6.62
8068578	5.91
7991106	7.12
7985560	5.52
7985416	5.79
