ID_REF	VALUE
7901495	5.23
7901712	4.17
7903026	3.16
7904867	3.39
7904946	3.39
7905039	2.98
7906233	4.02
7907464	6.2
7907747	2.92
7908155	4.35
7909125	3.78
7909283	8.74
7910676	7.25
7910946	3.15
7911094	3.23
7911108	6.59
7912207	4.79
7912625	3.7
7913799	3.03
7913803	4.34
7914038	4.07
7914139	9.12
7914350	6.35
7914807	2.65
7916075	6.03
7916491	5.15
7917735	3.2
7917739	5.36
7918153	7.78
7919153	5.79
7919403	5.79
7919574	3.33
7919778	3.43
7920025	7.37
7923003	2.94
7923440	7.91
7924205	3.41
7925126	3.73
7925318	4.91
7925440	5.23
7926383	4.16
7927548	10.15
7927706	6.82
7928328	2.55
7931928	3.01
7932614	3.86
7933088	3.45
7933178	7.66
7935142	5.79
7936282	2.76
7939640	4.41
7942061	4.61
7943734	3.45
7944111	4.84
7945031	4.46
7945728	3.86
7946659	5.85
7947932	3.9
7948033	5.79
7948139	3.06
7948397	5.38
7950030	4.63
7950282	7.72
7951349	5.53
7951435	9.67
7951668	4.4
7952396	5.64
7953761	3.96
7953763	6.54
7954602	7.42
7955421	3.4
7957006	3.52
7957497	3.42
7959572	3.11
7959823	2.96
7959825	4.04
7960359	13.01
7960846	3.8
7960863	7.34
7962248	3.79
7963588	4.38
7964598	4.95
7964629	3.79
7964685	3.08
7964720	2.9
7965842	9.42
7966425	5.7
7967032	6.81
7968252	7.13
7968970	3.63
7970945	3.54
7971124	10.11
7971367	3.93
7971903	2.94
7972414	4.79
7972709	3.85
7974192	3.25
7974687	2.99
7976152	6.76
7977117	3.73
7978909	7.51
7979131	6.29
7980688	3.58
7981779	3.53
7982935	10.17
7983270	4.2
7983377	2.71
7983391	3.27
7984188	7.6
7986635	3.62
7987308	3.1
7988342	6.4
7988344	5.02
7988348	2.91
7988412	5.31
7990806	2.95
7992067	6.65
7992131	5.93
7992136	6.94
7992742	3.58
7992841	6.94
7995523	6.21
7999171	5.16
8000614	3.67
8001183	2.87
8001348	6.07
8002027	5.75
8003226	4.65
8003857	7.72
8003889	5.77
8005433	7.93
8005992	2.93
8006081	8.39
8007497	3.28
8007499	3.74
8007501	5.15
8007605	3.65
8009006	4.84
8010186	5.8
8010210	3.33
8012841	5.15
8015796	8.15
8016733	10.26
8020453	4.74
8021013	5.33
8021683	3.41
8022043	8.75
8022174	4.21
8023061	6.46
8023547	2.88
8023644	3.65
8023755	3.85
8027266	4.58
8027429	8.86
8027437	7.04
8028002	6.29
8029278	4.73
8030826	4.76
8035787	4.33
8035859	6.74
8036170	5.83
8036172	7.12
