ID_REF	VALUE
7901495	4.68
7901712	4.51
7903026	2.91
7904867	2.64
7904946	2.64
7905039	2.87
7906233	3.52
7907464	5.53
7907747	2.92
7908155	4.43
7909125	3.8
7909283	10.07
7910676	7.61
7910946	2.92
7911094	2.89
7911108	6.83
7912207	5.72
7912625	3.73
7913799	3.15
7913803	5.02
7914038	4.35
7914139	9.36
7914350	6.43
7914807	3.71
7916075	5.85
7916491	6.03
7917735	3.12
7917739	5
7918153	7.93
7919153	4.94
7919403	4.94
7919574	3.58
7919778	3.82
7920025	7.46
7923003	2.82
7923440	7.45
7924205	3.55
7925126	3.51
7925318	4.58
7925440	4.9
7926383	4.47
7927548	10.57
7927706	7.49
7928328	2.62
7931928	3.21
7932614	4.46
7933088	3.47
7933178	7.97
7935142	5.63
7936282	3.07
7939640	4.28
7942061	5.33
7943734	3.53
7944111	5.1
7945031	5.38
7945728	3.72
7946659	5.48
7947932	3.33
7948033	5.98
7948139	4
7948397	5.7
7950030	4.74
7950282	7.65
7951349	5.47
7951435	9.83
7951668	5.13
7952396	5.34
7953761	4.3
7953763	6.57
7954602	6.93
7955421	3.22
7957006	3.62
7957497	5.21
7959572	3.1
7959823	3.49
7959825	4.79
7960359	12.64
7960846	3.88
7960863	7.64
7962248	3.87
7963588	4.2
7964598	5.44
7964629	3.52
7964685	3.21
7964720	2.96
7965842	9.38
7966425	5.04
7967032	7.07
7968252	7.06
7968970	3.3
7970945	3.56
7971124	10.14
7971367	3.95
7971903	2.93
7972414	4.88
7972709	3.84
7974192	3.1
7974687	2.94
7976152	7.31
7977117	4.09
7978909	7.46
7979131	7.48
7980688	3.29
7981779	3.18
7982935	10.82
7983270	3.55
7983377	3.14
7983391	3.37
7984188	7.45
7986635	3.39
7987308	3.36
7988342	4.38
7988344	5.27
7988348	3.71
7988412	5.19
7990806	3.34
7992067	6.87
7992131	6.19
7992136	6.77
7992742	3.5
7992841	6.43
7995523	6.55
7999171	5.2
8000614	3.7
8001183	3.07
8001348	6.29
8002027	6.07
8003226	4.91
8003857	7.9
8003889	4.93
8005433	8.01
8005992	2.91
8006081	7.85
8007497	3.6
8007499	4.07
8007501	5.81
8007605	5.26
8009006	4.98
8010186	5.65
8010210	3.45
8012841	6.93
8015796	9.65
8016733	10
8020453	5
8021013	5.81
8021683	3.36
8022043	9.05
8022174	3.99
8023061	6.83
8023547	2.87
8023644	3.97
8023755	5.35
8027266	4.99
8027429	10.03
8027437	7.04
8028002	7.06
8029278	4.69
8030826	4.66
8035787	4.53
8035859	6.3
8036170	5.84
8036172	7.34
8036557	11.02
8040336	3.98
8041636	5.28
8042460	3.8
8043022	4.72
8043024	3
8048108	7.9
8049073	11.75
8049235	3.5
8052303	2.9
8052592	5.42
8053404	2.86
8055137	5.08
8055309	7.56
8057032	3.05
8057561	11.23
8058145	3.21
8061068	4.27
8061092	4.36
8061881	6.78
8063349	4.4
8063549	8.05
8065163	3.11
8065198	3.21
8065332	5.51
8065990	4.49
8066273	4.76
8066528	7.34
8067948	5.55
8068020	4.91
8068610	5.09
8068733	3.59
8069206	5.51
8070871	4.55
8070930	5.98
8071202	3.57
8072775	3.33
8074059	5.31
8075308	3.42
8075776	4.88
8077351	7.21
8078185	5.34
8078384	3.57
8079151	7.56
8079588	4.26
8082795	6.25
8083061	5.01
8085768	6.12
8086370	2.9
8086515	4.63
8088476	3.96
8090662	7.51
8091118	5.39
8091186	3.57
8091239	2.82
8093035	6.56
8093037	4.47
8094355	5.41
8094686	5.5
8094986	4.16
8095159	9.86
8095758	9.06
8096413	3.55
8096531	3.52
8097285	3.51
8097447	7.17
8097936	7.73
8098004	3.09
8098463	4.81
8099140	3.45
8099922	7.84
8100123	3.02
8100290	3.93
8100454	3.17
8101778	6.15
8103849	3.27
8104129	7.06
8104659	3.66
8105061	8.2
8105300	7.34
8105321	7.43
8108433	4.46
8109595	5.86
8109661	3.65
8112018	9
8112609	5.3
8112855	3.4
8114898	5.57
8115010	3.03
8115873	5.9
8116346	6.49
8119076	8.12
8119856	3.36
8121142	3.33
8121269	6.7
8121330	5.86
8121332	2.94
8121483	5.29
8123712	4.01
8124329	4.03
8124846	3.43
8125443	4.57
8125445	3.75
8126033	6.33
8126358	4.92
8126627	5.52
8127107	6.4
8127143	4.18
8127688	2.9
8127690	5.97
8130183	3.79
8131867	8.39
8132501	7.01
8134345	3.41
8135214	3.62
8137040	3.82
8137466	7.11
8138084	7
8139017	3.35
8140166	6.17
8140168	4.05
8140855	3.09
8142876	4.59
8145795	7.87
8146322	3.81
8146328	6.83
8146754	3.51
8147047	4.04
8148461	4.12
8150087	10.3
8151213	3.66
8152626	6.89
8152922	2.99
8154361	2.92
8154763	7.04
8155881	2.74
8156110	4.69
8156579	7.02
8156969	3.21
8157485	3.36
8157605	9.43
8157888	3.83
8158511	4
8158910	6.67
8161421	7.71
8161646	3.09
8162823	6.87
8164129	6.56
8166583	3.59
8167161	5.3
8168735	3.11
8169638	6.48
8170230	3.63
8171881	2.88
8172270	9.55
8173164	5.12
8173522	5.79
8173627	7.78
8174494	3.11
8176469	4.22
8176779	5.25
8176947	3.45
8177116	5.48
8177118	4.7
8177387	3.45
7981730	9.08
8139460	7.31
8140739	6.55
8101322	6.47
8130827	6.39
8130824	6.05
8140269	10.16
8140258	10.26
8113103	7.54
8163666	4.73
8085122	6.34
8021152	6.28
8168727	6.85
7945734	6.83
8094542	5.36
7931824	5.43
8135015	5.57
8143766	6.81
8006779	6.81
7904965	8.18
8107321	9.06
8071357	6.27
8076561	7.23
8074591	5.17
8074769	4.59
8071981	7.8
7978056	6.15
8138592	7.5
8169235	5.47
8024888	6.15
8012958	6.73
8152865	6.76
8103644	5.27
8105318	5.48
8043433	9.03
8165669	13.02
7970828	6.73
7944601	5.11
8101501	5.09
8008564	7.8
8068578	5.81
7991106	6.87
7985560	5.56
7985416	5.82
7985457	5.82
7985688	5.82
7990941	5.82
8106350	4.45
8029624	6.5
8030939	4.71
7902072	4.15
8069868	5.51
8146527	4.82
7969576	6.3
7926677	7.67
8084704	6.56
7948211	8.08
7986603	4.09
7949015	7.63
7949410	12.8
7905496	8.98
7913663	5.46
8075691	13.3
8105432	13.28
8178324	6.37
8001104	7.22
8029669	4.35
8068494	7.25
8050844	5.18
8057554	10.79
8108627	3.51
8144082	6.14
7956522	6.02
8113421	5.91
8114270	7.54
8094154	6.95
8121130	5.25
8054393	5.39
8042827	4.97
8095005	6.51
8121596	7.06
8116128	6.8
8083463	4.61
8168432	9.47
8031499	7.34
8161000	6.05
7933632	5.91
8002102	7.36
8117161	4.67
7999356	7.3
8126705	6.36
8082236	5.4
8123714	8.63
8104731	6.62
8160020	4.89
8008868	5.18
7956419	7.72
8019517	6.72
