ID_REF	VALUE
7901495	4.32
7901712	3.95
7903026	3.16
7904867	2.84
7904946	2.84
7905039	3.26
7906233	3.32
7907464	5.8
7907747	2.95
7908155	4.53
7909125	3.75
7909283	10.77
7910676	7.24
7910946	3
7911094	3.03
7911108	7
7912207	4.93
7912625	3.96
7913799	3.11
7913803	3.62
7914038	4.23
7914139	9.44
7914350	6.57
7914807	3.44
7916075	4.89
7916491	6.07
7917735	3.23
7917739	5.4
7918153	7.98
7919153	4.45
7919403	4.45
7919574	3.42
7919778	3.48
7920025	7.19
7923003	3.19
7923440	6.78
7924205	3.79
7925126	3.74
7925318	4.93
7925440	5.11
7926383	4.21
7927548	11.04
7927706	5.84
7928328	3.1
7931928	3.31
7932614	3.91
7933088	3.81
7933178	7.61
7935142	5.62
7936282	3.11
7939640	4.43
7942061	4.92
7943734	3.17
7944111	4.95
7945031	4.86
7945728	3.6
7946659	5.48
7947932	3.16
7948033	5.83
7948139	3.68
7948397	5.4
7950030	4.55
7950282	7.53
7951349	5.42
7951435	10.04
7951668	4.01
7952396	4.7
7953761	4.08
7953763	6.41
7954602	7.03
7955421	3.65
7957006	3.41
7957497	3.48
7959572	3.63
7959823	3.72
7959825	4.29
7960359	12.69
7960846	3.95
7960863	7.18
7962248	3.65
7963588	3.85
7964598	5.23
7964629	3.69
7964685	3.38
7964720	2.98
7965842	9.18
7966425	6.98
7967032	6.67
7968252	7
7968970	3.37
7970945	3.59
7971124	10.44
7971367	4.12
7971903	2.87
7972414	4.83
7972709	3.9
7974192	3.24
7974687	2.92
7976152	6.23
7977117	4.27
7978909	7.75
7979131	6.27
7980688	3.35
7981779	3.27
7982935	10.83
7983270	3.69
7983377	2.99
7983391	3.23
7984188	7.4
7986635	3.22
7987308	3.02
7988342	4.34
7988344	5.51
7988348	3.22
7988412	5.13
7990806	3.15
7992067	6.59
7992131	5.81
7992136	6.59
7992742	3.65
7992841	6.07
7995523	6.36
7999171	5.37
8000614	3.9
8001183	2.86
8001348	5.85
8002027	5.81
8003226	4.79
8003857	7.98
8003889	6.2
8005433	7.53
8005992	2.94
8006081	8.14
8007497	3.5
8007499	3.62
8007501	5.25
8007605	3.53
8009006	4.87
8010186	5.46
8010210	4.03
8012841	5.4
8015796	9.6
8016733	10.17
8020453	4.86
8021013	5.41
8021683	3.31
8022043	8.49
8022174	4.08
8023061	6.23
8023547	3.06
8023644	3.46
8023755	3.93
8027266	3.92
8027429	8.81
8027437	7.16
8028002	6.29
8029278	5.04
8030826	4.97
8035787	4.73
8035859	6.69
8036170	5.38
8036172	7.07
8036557	11.91
8040336	3.86
8041636	5.65
8042460	3.63
8043022	4.97
8043024	3.4
8048108	7.57
8049073	11.52
8049235	3.74
8052303	3.08
8052592	5.3
8053404	2.89
8055137	4.14
8055309	7.58
8057032	3.02
8057561	11.08
8058145	3.38
8061068	3.95
8061092	4.26
8061881	6.4
8063349	4.73
8063549	7.78
8065163	4.03
8065198	2.89
8065332	5.1
8065990	4.44
8066273	4.69
8066528	7.38
8067948	5
8068020	4.45
8068610	6.81
8068733	3.49
8069206	3.74
8070871	4.22
8070930	6.06
8071202	3.51
8072775	5.57
8074059	4.57
8075308	4.04
8075776	4.83
8077351	6.78
8078185	5.57
8078384	3.66
8079151	7.11
8079588	5.18
8082795	5.98
8083061	5.33
8085768	5.84
8086370	2.96
8086515	3.7
8088476	3.9
8090662	7.23
8091118	5.19
8091186	3.34
8091239	3.29
8093035	6.32
8093037	5
8094355	5.99
8094686	4.81
8094986	4.19
8095159	8.62
8095758	9.67
8096413	3.55
8096531	3.28
8097285	3.58
8097447	6.91
8097936	7.44
8098004	2.9
8098463	3.42
8099140	3.11
8099922	7.7
8100123	3.05
8100290	3.1
8100454	3.58
8101778	5.73
8103849	3.2
8104129	6.15
8104659	3.3
8105061	8.02
8105300	7.25
8105321	7.43
8108433	4.33
8109595	5.6
8109661	3.67
8112018	8.76
8112609	6.7
8112855	3.49
8114898	5.23
8115010	3.97
8115873	6.03
8116346	5.67
8119076	7.43
8119856	3.93
8121142	3
8121269	7.01
8121330	6.79
8121332	3.13
8121483	4.79
8123712	4.11
8124329	4.61
8124846	4.62
8125443	4.76
8125445	4.83
8126033	6.09
8126358	4.9
8126627	5.83
8127107	6.38
8127143	3.74
8127688	2.8
8127690	5.19
8130183	4.2
8131867	6.95
8132501	7.51
8134345	3.35
8135214	3.14
8137040	3.8
8137466	4.82
8138084	5.76
8139017	3.8
8140166	5.99
8140168	4.66
8140855	2.9
8142876	4.69
8145795	7.23
8146322	3.82
8146328	6.9
8146754	3.58
8147047	3.97
8148461	4.36
8150087	9.67
8151213	4.12
8152626	7.26
8152922	3.17
8154361	3.3
8154763	6.96
8155881	2.77
8156110	4.08
8156579	4.86
8156969	3.13
8157485	3.23
8157605	9.28
8157888	4.08
8158511	4.73
8158910	6.6
8161421	7.56
8161646	3.04
8162823	6.56
8164129	7.74
8166583	3.48
8167161	5.62
8168735	3.39
8169638	5.84
8170230	4.68
8171881	3.15
8172270	9.1
8173164	5.36
8173522	4.74
8173627	6.34
8174494	3.16
8176469	6.2
8176779	5.3
8176947	3.59
8177116	4.88
8177118	4.55
8177387	3.59
7981730	10.65
8139460	7.26
8140739	6.99
8101322	7.57
8130827	6.02
8130824	5.91
8140269	9.84
8140258	9.94
8113103	7.06
8163666	4.88
8085122	6.24
8021152	5.79
8168727	6.09
7945734	6.41
8094542	5.38
7931824	5.44
8135015	5.56
8143766	7.91
8006779	7.19
7904965	7.73
8107321	8.81
8071357	6.15
8076561	7.21
8074591	4.79
8074769	4.47
8071981	7.82
7978056	5.98
8138592	7.61
8169235	5.25
8024888	5.97
8012958	7.3
8152865	6.89
