ID_REF	VALUE
7901495	4.77
7901712	3.83
7903026	3.07
7904867	3.2
7904946	3.2
7905039	3.07
7906233	3.56
7907464	5.72
7907747	2.9
7908155	4.73
7909125	3.65
7909283	8.01
7910676	7.36
7910946	3.02
7911094	2.94
7911108	6.03
7912207	4.63
7912625	3.53
7913799	3.26
7913803	4.95
7914038	4.57
7914139	9.16
7914350	6.31
7914807	3.4
7916075	6.57
7916491	4.99
7917735	3.21
7917739	5.88
7918153	8
7919153	6
7919403	6
7919574	3.32
7919778	3.39
7920025	7.33
7923003	2.94
7923440	7.31
7924205	3.11
7925126	3.62
7925318	5.04
7925440	5.03
7926383	4.61
7927548	10.09
7927706	6.79
7928328	2.67
7931928	3.57
7932614	4
7933088	3.68
7933178	7.69
7935142	4.81
7936282	2.79
7939640	4.22
7942061	5.28
7943734	3.64
7944111	5.04
7945031	4.62
7945728	3.92
7946659	5.42
7947932	3.79
7948033	5.67
7948139	3.67
7948397	5.86
7950030	4.62
7950282	7.68
7951349	5.45
7951435	9.26
7951668	5.08
7952396	5.45
7953761	4.07
7953763	6.59
7954602	7.24
7955421	3.39
7957006	3.59
7957497	3.56
7959572	3.44
7959823	3.65
7959825	4.36
7960359	12.8
7960846	3.92
7960863	7.52
7962248	3.97
7963588	3.55
7964598	4.99
7964629	3.81
7964685	3.43
7964720	2.99
7965842	9.46
7966425	5.94
7967032	7.05
7968252	7.03
7968970	3.73
7970945	3.29
7971124	10.5
7971367	3.48
7971903	3.14
7972414	5.19
7972709	3.52
7974192	3.23
7974687	3.67
7976152	7.62
7977117	4.15
7978909	7.69
7979131	7.57
7980688	3.58
7981779	3.36
7982935	10.29
7983270	3.64
7983377	3.33
7983391	3.39
7984188	7.97
7986635	3.42
7987308	2.94
7988342	7.38
7988344	5.39
7988348	3.25
7988412	5.24
7990806	2.84
7992067	6.54
7992131	5.76
7992136	6.8
7992742	3.43
7992841	6.44
7995523	5.97
7999171	4.88
8000614	3.89
8001183	3.02
8001348	6.28
8002027	5.73
8003226	4.92
8003857	7.99
8003889	4.51
8005433	7.6
8005992	2.9
8006081	9.23
8007497	3.3
8007499	3.98
8007501	4.85
8007605	3.52
8009006	4.78
8010186	5.65
8010210	4.2
8012841	5.7
8015796	9.18
8016733	10.38
8020453	4.82
8021013	5.49
8021683	3.21
8022043	8.51
8022174	3.95
8023061	6.81
8023547	2.87
8023644	3.49
8023755	4.63
8027266	4.37
8027429	9.41
8027437	6.78
8028002	6.03
8029278	5.16
8030826	4.56
8035787	4.47
8035859	6.65
8036170	5.39
8036172	6.98
8036557	11.52
8040336	4.36
8041636	5.15
8042460	3.36
8043022	5.01
8043024	3.27
8048108	7.71
8049073	10.9
8049235	3.43
8052303	3.17
8052592	5.06
8053404	3.02
8055137	4.69
8055309	7.37
8057032	3.08
