ID_REF	VALUE
7901495	4.61
7901712	4.15
7903026	3
7904867	2.75
7904946	2.75
7905039	3.72
7906233	3.58
7907464	5.92
7907747	3.13
7908155	4.56
7909125	3.55
7909283	9.27
7910676	7.14
7910946	2.91
7911094	3.06
7911108	6.47
7912207	4.45
7912625	3.76
7913799	3.04
7913803	3.83
7914038	4.06
7914139	9.1
7914350	6.9
7914807	3.89
7916075	4.95
7916491	5.53
7917735	3.06
7917739	5.7
7918153	7.75
7919153	4.31
7919403	4.31
7919574	3.37
7919778	3.46
7920025	7.65
7923003	2.98
7923440	7.36
7924205	3.43
7925126	3.73
7925318	4.71
7925440	5.13
7926383	4.48
7927548	10.54
7927706	7.84
7928328	3.35
7931928	3.11
7932614	4.11
7933088	3.72
7933178	7.25
7935142	4.68
7936282	2.95
7939640	4.23
7942061	5.56
7943734	3.6
7944111	4.99
7945031	4.96
7945728	3.89
7946659	5.88
7947932	3.42
7948033	5.86
7948139	3.55
7948397	5.34
7950030	4.86
7950282	7.44
7951349	5.73
7951435	9.35
7951668	4.76
7952396	7.69
7953761	4.07
7953763	6.53
7954602	7.06
7955421	3.14
7957006	3.46
7957497	3.29
7959572	4.41
7959823	3.58
7959825	4.28
7960359	12.28
7960846	4.21
7960863	7.49
7962248	3.8
7963588	3.74
7964598	5.62
7964629	4.07
7964685	3.52
7964720	2.91
7965842	9.23
7966425	5.41
7967032	6.6
7968252	7.31
7968970	3.7
7970945	3.26
7971124	10.33
7971367	3.48
7971903	3
7972414	4.87
7972709	3.83
7974192	3.33
7974687	2.87
7976152	6.17
7977117	4.31
7978909	7.68
7979131	5.05
7980688	3.58
7981779	7.26
7982935	10.59
7983270	3.47
7983377	2.74
7983391	3.42
7984188	7.69
7986635	9.84
7987308	2.92
7988342	5.02
7988344	4.78
7988348	3.32
7988412	5.2
7990806	3.1
7992067	6.83
7992131	6.2
7992136	6.73
7992742	4.02
7992841	6.62
7995523	5.88
7999171	5.51
8000614	3.91
8001183	3.05
8001348	5.69
8002027	5.9
8003226	4.56
