ID_REF	VALUE
7901495	4.26
7901712	4.13
7903026	3.01
7904867	2.71
7904946	2.71
7905039	3.03
7906233	3.12
7907464	6.05
7907747	3.11
7908155	4.72
7909125	3.84
7909283	10.86
7910676	7.16
7910946	3.21
7911094	2.99
7911108	5.72
7912207	4.95
7912625	3.77
7913799	3.23
7913803	4.22
7914038	4.23
7914139	9.38
7914350	6.76
7914807	2.99
7916075	4.81
7916491	4.88
7917735	3.33
7917739	4.65
7918153	7.46
7919153	4.66
7919403	4.66
7919574	3.58
7919778	3.14
7920025	7.47
7923003	2.98
7923440	6.26
7924205	3.35
7925126	3.42
7925318	4.42
7925440	5.33
7926383	4.34
7927548	10.45
7927706	6.64
7928328	2.5
7931928	3.19
7932614	3.93
7933088	3.37
7933178	7.79
7935142	5.18
7936282	3.01
7939640	4.2
7942061	6.04
7943734	3.37
7944111	4.84
7945031	4.82
7945728	3.93
7946659	5.78
7947932	3.53
7948033	6.05
7948139	3.53
7948397	5.33
7950030	4.78
7950282	6.89
7951349	5.2
7951435	9.27
7951668	4.72
7952396	5.81
7953761	3.89
7953763	6.65
7954602	6.66
7955421	3.04
7957006	3.35
7957497	3.46
7959572	3.44
7959823	3.29
7959825	4.54
7960359	12.81
7960846	3.62
7960863	7.31
7962248	3.7
7963588	3.67
7964598	4.96
7964629	3.7
7964685	3.21
7964720	2.88
7965842	9.67
7966425	5.38
7967032	6.76
7968252	6.94
7968970	3.78
7970945	3.58
7971124	9.71
7971367	3.42
7971903	3.05
7972414	4.74
7972709	3.83
7974192	3.19
7974687	3.43
7976152	5.88
7977117	3.69
7978909	7.18
7979131	7.24
7980688	3.59
7981779	3.43
7982935	10.47
7983270	3.33
7983377	3
7983391	3.42
7984188	7.44
7986635	3.5
7987308	3.38
7988342	5.5
7988344	4.62
7988348	2.95
7988412	5.3
7990806	3.1
7992067	6.99
7992131	6.03
7992136	6.69
7992742	3.55
7992841	7.11
7995523	6.28
7999171	5.45
8000614	3.89
8001183	3.15
8001348	6.22
8002027	5.87
8003226	4.69
8003857	7.84
8003889	5.55
8005433	7.6
8005992	3.2
8006081	7.76
8007497	3.52
8007499	4.02
8007501	4.59
8007605	3.93
8009006	4.77
8010186	5.93
8010210	3.9
8012841	5.41
8015796	7.37
8016733	10.09
8020453	4.59
8021013	5.26
8021683	3.4
8022043	8.67
8022174	4.39
8023061	6.35
8023547	2.92
8023644	3.65
8023755	3.57
8027266	4.65
8027429	7.79
8027437	6.27
8028002	5.19
8029278	6.32
8030826	5.39
8035787	3.91
8035859	6.3
8036170	5.89
8036172	7.04
8036557	11.49
8040336	3.84
8041636	5.54
8042460	3.25
8043022	5.57
8043024	3.35
8048108	7.93
8049073	11.11
8049235	3.6
8052303	3.03
8052592	4.87
8053404	3.04
8055137	4.95
8055309	7.42
8057032	2.99
8057561	10.74
8058145	3.28
8061068	4.43
8061092	4.33
8061881	6.74
8063349	4.41
8063549	7.79
8065163	3.14
8065198	3.17
8065332	5.39
8065990	3.54
8066273	4.88
8066528	6.77
8067948	5.03
8068020	4.28
8068610	5.78
8068733	4.4
8069206	3.77
8070871	4.39
8070930	6.3
8071202	3.34
8072775	3.87
8074059	4.95
8075308	3.38
8075776	5.06
8077351	7.1
8078185	5.36
8078384	3.29
8079151	5.99
8079588	3.71
8082795	5.98
8083061	5.01
8085768	5.78
8086370	2.86
8086515	3.69
8088476	2.5
8090662	7.36
8091118	4.98
8091186	3.33
8091239	3.64
8093035	6.43
8093037	4.06
8094355	5.82
8094686	4.7
8094986	4.6
8095159	8
8095758	8.96
8096413	3.85
8096531	3.4
8097285	3.33
8097447	7.1
8097936	7.65
8098004	2.98
8098463	4
8099140	3.61
8099922	6.59
8100123	2.95
8100290	2.89
8100454	3.51
8101778	6.1
8103849	3.04
8104129	6.4
8104659	3.52
8105061	10.26
8105300	6.75
8105321	6.82
8108433	4.72
8109595	5.63
8109661	3.57
8112018	8.62
8112609	5.93
8112855	3.41
8114898	5.91
8115010	3.38
8115873	5.8
8116346	5.88
8119076	6.69
8119856	3.59
8121142	3.36
8121269	6.72
8121330	6
8121332	3.65
8121483	5.12
8123712	3.73
8124329	4.14
8124846	4.62
8125443	4.72
8125445	5.18
8126033	6.3
8126358	4.53
8126627	5.48
8127107	6.12
8127143	3.62
8127688	3.14
8127690	5.71
8130183	3.75
8131867	7.21
8132501	7.27
8134345	3.59
8135214	3.45
8137040	4.39
8137466	4.73
8138084	5.4
8139017	3.88
8140166	6.23
8140168	4.47
8140855	3.03
8142876	4.62
8145795	7.25
8146322	4.09
8146328	6.91
8146754	3.87
8147047	4
8148461	4.42
8150087	9.99
8151213	3.42
8152626	6.98
8152922	2.87
8154361	3.13
8154763	6.89
8155881	3.14
8156110	3.98
8156579	5.26
8156969	3.22
8157485	3.44
8157605	10.01
8157888	4.37
8158511	4.19
8158910	6.59
8161421	7.88
8161646	3.08
8162823	6.56
8164129	6.63
8166583	3.33
8167161	5.6
8168735	3.63
8169638	5.86
8170230	4.07
8171881	2.86
8172270	9.03
8173164	4.87
8173522	5.1
8173627	5.77
8174494	2.54
8176469	4.02
8176779	5.34
8176947	3.61
8177116	5.44
8177118	4.88
8177387	3.61
7981730	8.26
8139460	7.32
8140739	6.96
8101322	6.65
8130827	6.31
8130824	6.48
8140269	9.64
8140258	9.76
8113103	6.35
8163666	4.84
8085122	6.42
8021152	5.73
8168727	5.81
7945734	6.64
8094542	5.48
7931824	5.64
8135015	5.94
8143766	7.5
8006779	6.83
7904965	8.41
8107321	7.98
8071357	6.27
8076561	7.25
8074591	5.08
8074769	4.43
8071981	8.08
7978056	6.15
8138592	7.79
8169235	5.31
8024888	5.9
8012958	7.44
8152865	6.92
8103644	4.58
8105318	4.5
8043433	8.52
8165669	12.78
7970828	6.52
7944601	5.25
8101501	5.82
8008564	6.88
8068578	5.8
7991106	7.44
7985560	5.86
7985416	5.94
7985457	5.94
7985688	5.94
7990941	5.94
8106350	4.76
8029624	6.86
8030939	4.77
7902072	4.36
8069868	5.12
8146527	4.74
7969576	6.45
7926677	7.86
8084704	7.22
7948211	7.44
7986603	4.11
7949015	7.76
7949410	12.3
7905496	8.91
7913663	5.25
8075691	13.02
8105432	13.01
8178324	5.91
8001104	6.68
8029669	4.41
8068494	7.08
8050844	5.44
8057554	10.86
8108627	3.82
8144082	6.47
7956522	6.32
8113421	5.9
8114270	6.76
8094154	6.7
8121130	6.58
8054393	5.8
8042827	5.05
8095005	5.82
8121596	7.71
8116128	6.54
8083463	6.49
8168432	9.99
8031499	7.25
8161000	5.62
7933632	5.43
8002102	7.37
8117161	4.2
7999356	7.8
8126705	6.1
8082236	5.87
8123714	8.27
8104731	6.55
8160020	4.85
8008868	5.5
7956419	7.15
8019517	6.25
7935863	6.12
7989220	4.28
8104066	4.83
8066275	7.23
8081254	6.03
8020321	6.41
7910096	6.06
8154727	7.23
8076493	6.23
8152938	6.57
8122334	8.25
7949075	12.28
7901314	6.72
7968514	5.44
8050654	3.34
8002967	6.28
8171537	5.55
8083935	6.04
7922295	3.8
8148465	5.32
7974619	8.3
8169361	7.95
7991465	6.65
8149809	6.11
7962557	6.13
8112607	6.28
7960259	8.3
7993369	6.18
8004802	7.47
7935359	7.6
8049825	7.31
7995379	11.14
8109593	6.06
8165888	6.11
7949744	6.34
8043745	6.54
7952735	4.44
7927597	7.62
7963575	11.55
8132705	4.86
7901340	5.84
7956987	5.16
8021147	11.12
8009474	3.12
7974245	6.22
8113276	3.11
7927265	2.88
8057559	3.16
7927595	7.05
8093974	4.42
7964868	8.46
7967896	7.22
8055911	6.68
7953977	8.01
7934706	7.7
7934717	7.7
8130626	6.77
8162490	11.11
8020382	9.19
8123985	11.65
7979959	4.28
8055672	11.19
7979802	3.45
7935776	12.74
7980309	11.8
8088468	4.67
8007548	7.32
7943347	7.69
7937940	5.07
8048022	4.69
7958948	8.37
7975386	5.91
