ID_REF	VALUE
7901495	4.31
7901712	4.1
7903026	3.05
7904867	2.7
7904946	2.7
7905039	2.76
7906233	3.7
7907464	5.64
7907747	3.11
7908155	4.63
7909125	3.66
7909283	9.67
7910676	7.05
7910946	2.95
7911094	3.02
7911108	6.16
7912207	5.13
7912625	3.96
7913799	3.09
7913803	4.02
7914038	4.17
7914139	9.58
7914350	6.57
7914807	3.86
7916075	5.5
7916491	6.11
7917735	3.12
7917739	4.95
7918153	7.89
7919153	4.98
7919403	4.98
7919574	3.37
7919778	3.2
7920025	7.35
7923003	2.97
7923440	7.32
7924205	3.49
7925126	3.59
7925318	4.95
7925440	5.08
7926383	4.28
7927548	10.52
7927706	7.61
7928328	2.65
7931928	3.13
7932614	4.33
7933088	3.41
7933178	7.8
7935142	5.54
7936282	3.21
7939640	4.4
7942061	5.28
7943734	3.8
7944111	5
7945031	4.65
7945728	3.85
7946659	5.41
7947932	3.36
7948033	5.66
7948139	4.38
7948397	5.95
7950030	4.49
7950282	7.22
7951349	5.8
7951435	9.77
7951668	4.37
7952396	5.38
7953761	4.3
7953763	6.48
7954602	7.05
7955421	3.07
7957006	3.7
7957497	3.46
7959572	4.04
7959823	3.59
7959825	4.76
7960359	13.05
7960846	3.96
7960863	7.19
7962248	3.71
7963588	4.12
7964598	5.2
7964629	3.74
7964685	3.57
7964720	3.06
7965842	9.3
7966425	5.3
7967032	6.59
7968252	7.04
7968970	3.87
7970945	3.66
7971124	10.15
7971367	3.38
7971903	2.87
7972414	4.8
7972709	3.83
7974192	3.31
7974687	2.7
7976152	6.74
7977117	4.59
7978909	7.36
7979131	6.27
7980688	3.51
7981779	3.16
7982935	10.57
7983270	3.91
7983377	3.21
7983391	3.23
7984188	7.59
7986635	3.74
7987308	3.11
7988342	5.59
7988344	5.23
7988348	3.33
7988412	5.44
7990806	2.94
7992067	6.97
7992131	6.11
7992136	6.86
7992742	3.67
7992841	5.83
7995523	4.93
7999171	5.41
8000614	3.96
8001183	2.98
8001348	5.93
8002027	5.92
8003226	4.69
8003857	7.7
8003889	5.65
8005433	7.47
8005992	2.73
8006081	8.08
8007497	3.48
8007499	3.95
8007501	4.92
8007605	2.82
8009006	5.11
8010186	5.83
8010210	3.59
8012841	5.86
8015796	9.18
8016733	10.23
8020453	4.93
8021013	5.42
8021683	3.44
8022043	8.85
8022174	4.01
8023061	6.1
8023547	2.84
8023644	3.69
8023755	4.26
8027266	4.5
8027429	8.74
8027437	7.46
8028002	6.18
8029278	5.07
8030826	5.04
8035787	4.55
8035859	6.63
8036170	5.51
8036172	7.2
8036557	11.62
8040336	3.99
8041636	5.3
8042460	3.59
8043022	5.17
8043024	3.17
8048108	8.08
8049073	11.45
8049235	3.84
8052303	3.18
8052592	4.86
8053404	2.84
8055137	4.46
8055309	7.53
8057032	3.21
8057561	10.74
