ID_REF	VALUE
7901495	4.67
7901712	3.78
7903026	2.93
7904867	3.25
7904946	3.25
7905039	3.24
7906233	3.83
7907464	5.98
7907747	3.52
7908155	4.5
7909125	3.52
7909283	11
7910676	6.98
7910946	3.24
7911094	3.02
7911108	5.85
7912207	5.42
7912625	3.82
7913799	3.32
7913803	3.62
7914038	4.2
7914139	8.2
7914350	6.71
7914807	3.51
7916075	5.06
7916491	5.4
7917735	3.59
7917739	5
7918153	8.24
7919153	4.71
7919403	4.71
7919574	3.44
7919778	3.34
7920025	7.33
7923003	3.33
7923440	6.41
7924205	3.46
7925126	3.52
7925318	4.54
7925440	4.97
7926383	4.72
7927548	10.19
7927706	6.31
7928328	3.17
7931928	3.05
7932614	4.09
7933088	3.41
7933178	7.4
7935142	5.82
7936282	3.19
7939640	4.52
7942061	6.07
7943734	3.43
7944111	4.96
7945031	5
7945728	4.31
7946659	5.71
7947932	3.26
7948033	5.66
7948139	3.75
7948397	5.46
7950030	4.5
7950282	8.06
7951349	5.44
7951435	8.7
7951668	5.47
7952396	5.88
7953761	5.12
7953763	6.43
7954602	6.86
7955421	3.27
7957006	3.58
7957497	3.91
7959572	3.15
7959823	3.5
7959825	4.15
7960359	12.81
7960846	3.87
7960863	7.26
7962248	3.8
7963588	3.51
7964598	5.08
7964629	4.03
7964685	3.13
7964720	2.96
7965842	9.17
7966425	6.11
7967032	6.29
7968252	6.85
7968970	3.5
7970945	4.11
7971124	9.54
7971367	3.86
7971903	3.12
7972414	5.13
7972709	4.21
7974192	3.14
7974687	2.57
7976152	6.07
7977117	4.1
7978909	7.13
7979131	5.1
7980688	3.45
7981779	3.29
7982935	10.31
7983270	3.39
7983377	2.93
7983391	3.52
7984188	7
7986635	3.83
7987308	3.47
7988342	4.14
7988344	4.79
7988348	3.39
7988412	5.15
7990806	3.33
7992067	6.83
7992131	6.13
7992136	6.98
7992742	3.92
7992841	6.54
7995523	3.38
7999171	4.62
8000614	3.6
8001183	2.98
8001348	6
8002027	5.97
8003226	5.07
8003857	7.78
8003889	4.44
8005433	7.67
8005992	2.97
8006081	7.68
8007497	3.09
8007499	4.06
8007501	4.45
8007605	3.64
8009006	4.55
8010186	5.65
8010210	4.72
8012841	4.33
8015796	6.42
8016733	9.45
8020453	4.74
8021013	5.43
8021683	3.41
8022043	9.29
8022174	4.36
8023061	6.53
8023547	2.98
8023644	4.07
8023755	3.5
8027266	4.57
8027429	7.84
8027437	7.26
8028002	4.92
8029278	5.8
8030826	4.97
8035787	4.13
8035859	6.74
8036170	5.81
8036172	7.2
8036557	11.81
8040336	4.38
8041636	5.76
8042460	3.33
8043022	4.6
8043024	3.31
8048108	8.12
8049073	11.69
8049235	3.62
8052303	3.07
8052592	5.24
8053404	3.41
8055137	5.79
8055309	7.6
8057032	3.1
8057561	10.47
8058145	3.38
8061068	4.31
8061092	4.13
