ID_REF	VALUE
7901495	4.9
7901712	3.96
7903026	3.29
7904867	2.76
7904946	2.76
7905039	2.96
7906233	3.12
7907464	5.86
7907747	2.93
7908155	4.61
7909125	3.66
7909283	10.81
7910676	7.19
7910946	3.01
7911094	2.96
7911108	6.4
7912207	4.84
7912625	3.81
7913799	3.14
7913803	4.68
7914038	4.43
7914139	9.08
7914350	6.58
7914807	3.55
7916075	5.04
7916491	5.79
7917735	3.12
7917739	5.3
7918153	7.94
7919153	4.59
7919403	4.59
7919574	3.47
7919778	3.4
7920025	7.12
7923003	2.87
7923440	7.38
7924205	3.31
7925126	3.65
7925318	4.32
7925440	5.32
7926383	4.39
7927548	10.52
7927706	7.46
7928328	2.78
7931928	3.11
7932614	3.93
7933088	3.48
7933178	7.43
7935142	5.41
7936282	2.9
7939640	4.35
7942061	6.11
7943734	3.18
7944111	5.03
7945031	5.34
7945728	4.3
7946659	5.5
7947932	3.28
7948033	5.68
7948139	3.43
7948397	5.15
7950030	4.74
7950282	7.38
7951349	5.41
7951435	9.6
7951668	5.52
7952396	4.98
7953761	4.26
7953763	6.36
7954602	6.5
7955421	3.25
7957006	3.31
7957497	3.54
7959572	3.34
7959823	3.33
7959825	4.36
7960359	12.45
7960846	4.09
7960863	7.28
7962248	3.66
7963588	4.2
7964598	5.15
7964629	3.78
7964685	3.49
7964720	2.84
7965842	9.38
7966425	5.96
7967032	6.82
7968252	6.98
7968970	3.69
7970945	3.63
7971124	10.11
7971367	3.68
7971903	2.89
7972414	4.79
7972709	4.02
7974192	3.33
7974687	2.57
7976152	6.28
7977117	3.35
7978909	7.74
7979131	5.97
7980688	3.26
7981779	3.39
7982935	10.86
7983270	3.6
7983377	3.08
7983391	3.33
7984188	7.47
7986635	3.63
7987308	2.98
7988342	7.04
7988344	5.1
7988348	3.05
7988412	5.34
7990806	2.8
7992067	6.78
7992131	5.99
7992136	6.76
7992742	3.35
7992841	6.44
7995523	5.19
7999171	5.28
8000614	3.72
8001183	2.94
8001348	5.93
8002027	5.95
8003226	4.98
8003857	7.68
8003889	5.62
8005433	7.6
8005992	2.89
8006081	8.22
8007497	3.57
8007499	3.92
8007501	5
8007605	3.77
8009006	5.06
8010186	5.49
8010210	3.54
8012841	6.44
8015796	8.16
8016733	9.9
8020453	3.97
8021013	5.29
8021683	3.24
8022043	8.62
8022174	4.13
8023061	6.43
8023547	2.86
8023644	3.73
8023755	3.96
8027266	4.18
8027429	8.78
8027437	7.08
8028002	5.3
8029278	5.26
8030826	4.78
8035787	4.3
8035859	6.58
8036170	5.72
8036172	7.05
8036557	11.44
8040336	4.07
8041636	6.39
8042460	3.45
8043022	5.37
8043024	3.35
8048108	8.03
8049073	11.34
8049235	3.66
8052303	3.18
8052592	5.23
8053404	2.77
8055137	4.34
8055309	7.53
8057032	3.14
8057561	10.91
8058145	3.53
8061068	3.99
8061092	4.28
8061881	6.58
8063349	4.92
8063549	7.79
8065163	3.1
8065198	2.92
8065332	5.48
8065990	4.38
8066273	4.95
8066528	7.66
8067948	5.16
8068020	4.72
8068610	5.89
8068733	3.94
8069206	3.82
8070871	4.39
8070930	6.35
8071202	3.35
8072775	5.2
8074059	4.99
8075308	3.7
8075776	5.21
8077351	7.09
8078185	5.22
8078384	3.77
8079151	7.63
8079588	4.04
8082795	6.07
8083061	4.62
8085768	6.11
8086370	3.01
8086515	3.9
8088476	3.1
8090662	7.25
8091118	5.12
8091186	3.46
8091239	3.51
8093035	6.63
8093037	5.24
8094355	5.77
8094686	4.84
8094986	4.11
8095159	8.67
8095758	8.87
8096413	3.63
8096531	3.58
8097285	3.45
8097447	6.97
8097936	7.78
8098004	2.88
8098463	3.68
8099140	3.35
8099922	8.05
8100123	2.99
8100290	3.3
8100454	3.48
8101778	5.92
8103849	3.18
8104129	6.86
8104659	3.41
8105061	9.25
8105300	7.56
8105321	7.48
8108433	3.96
8109595	5.8
8109661	3.48
8112018	8.86
8112609	5.68
8112855	2.92
8114898	6.02
8115010	3.96
8115873	5.96
8116346	5.99
8119076	7.17
8119856	3.67
8121142	3.31
8121269	6.96
8121330	5.96
8121332	3.58
8121483	5.83
8123712	4.43
8124329	4.45
8124846	4.08
8125443	4.57
8125445	4.5
8126033	6.26
8126358	4.62
8126627	5.29
8127107	6.91
8127143	3.97
8127688	2.91
8127690	5.65
8130183	3.63
8131867	7.3
8132501	7.68
8134345	3.41
8135214	3.46
8137040	4.19
8137466	4.98
8138084	5.08
8139017	3.1
8140166	6.62
8140168	4.61
8140855	2.99
8142876	4.83
8145795	7.2
8146322	3.84
8146328	6.61
8146754	3.59
8147047	3.85
8148461	4.43
8150087	10.09
8151213	3.81
8152626	8.01
8152922	3
8154361	3.01
8154763	6.96
8155881	2.75
8156110	4.26
8156579	5.51
8156969	3.32
8157485	3.48
8157605	9.83
8157888	4.33
8158511	4.47
8158910	6.79
8161421	7.68
8161646	3.39
8162823	6.68
8164129	7.48
8166583	3.37
8167161	5.79
8168735	3.25
8169638	7.42
8170230	4.36
8171881	2.94
8172270	9.77
8173164	5.36
8173522	4.97
8173627	6.64
8174494	2.66
8176469	4.42
8176779	5.26
8176947	3.12
8177116	5.13
8177118	4.86
8177387	3.12
7981730	8.27
8139460	7.22
8140739	6.81
8101322	7.82
8130827	6.35
8130824	6.11
8140269	9.87
8140258	9.99
8113103	7.31
8163666	4.4
8085122	6.45
8021152	5.68
8168727	6.04
7945734	6.59
8094542	5.46
7931824	5.27
8135015	5.81
8143766	7.41
8006779	7.11
7904965	8
8107321	8.08
8071357	6.29
8076561	7.18
8074591	5.06
8074769	4.41
8071981	8.11
7978056	6.23
8138592	7.63
8169235	5.32
8024888	5.9
8012958	6.98
8152865	6.95
8103644	4.73
8105318	5.18
8043433	8.34
8165669	12.95
7970828	6.52
7944601	4.8
8101501	5.92
8008564	7.71
8068578	5.8
7991106	6.71
7985560	5.2
7985416	5.44
7985457	5.44
7985688	5.44
7990941	5.44
8106350	4.97
8029624	6.53
8030939	4.83
7902072	4.03
8069868	5.28
8146527	4.72
7969576	7.11
7926677	8.21
8084704	7.14
7948211	7.33
7986603	3.93
7949015	7.44
7949410	12.65
7905496	7.53
7913663	5.28
8075691	13.18
8105432	13.16
8178324	5.8
8001104	6.71
8029669	4.49
8068494	6.91
8050844	5.44
8057554	11.17
8108627	3.58
8144082	5.78
7956522	6.32
8113421	5.98
8114270	7.39
8094154	6.74
8121130	6.27
8054393	6.13
8042827	5.29
8095005	6.2
8121596	6.8
8116128	6.44
8083463	6.3
8168432	10.02
8031499	7.04
8161000	6.8
7933632	5.52
8002102	7.61
8117161	4.35
7999356	8.14
8126705	6.45
8082236	5.73
8123714	9.25
8104731	6.76
8160020	5.14
8008868	5.15
7956419	7.62
8019517	5.95
7935863	7.05
7989220	4.67
8104066	4.15
8066275	7.78
8081254	6.17
8020321	6.16
7910096	6.11
8154727	7
8076493	6.19
8152938	6.34
8122334	7.88
7949075	11.67
7901314	6.54
7968514	5.55
8050654	3.63
8002967	6.71
8171537	5.01
8083935	6.13
7922295	3.47
8148465	5.23
7974619	8.6
8169361	7.39
7991465	7.66
8149809	6.13
7962557	6.3
8112607	7.14
7960259	8.79
7993369	5.98
8004802	7.54
7935359	7.49
8049825	7.06
7995379	11.15
8109593	6.41
8165888	6.03
7949744	5.58
8043745	6.35
7952735	5.02
7927597	7.78
7963575	11.72
8132705	4.95
7901340	5.56
7956987	4.95
8021147	11.13
8009474	3.06
7974245	6.55
8113276	2.94
7927265	3.11
8057559	3.22
7927595	7.23
8093974	5.62
7964868	9.11
7967896	7.75
8055911	6.54
7953977	8.07
7934706	8.24
7934717	8.24
8130626	7.21
8162490	10.91
8020382	8.86
8123985	11.63
7979959	4.91
8055672	11.24
7979802	3.8
7935776	12.85
7980309	11.87
8088468	4.46
8007548	7.87
7943347	7.87
7937940	5.05
8048022	5
7958948	8.11
7975386	5.49
7975626	8.22
8135031	6.69
8001402	8.35
8147019	8.12
8001924	9.53
8026541	7.95
8005501	10.34
8164196	5.6
7940026	3.86
8167428	5.13
8060526	5.33
7896983	5.64
8164153	6.3
8098940	5.31
8106818	6.31
8034199	6.56
7969143	6.79
8065242	5.52
8105495	5.67
7976239	7.01
8067380	6.45
7914994	3.66
7904478	7.46
8071049	7.15
8071713	6.97
8145766	7.56
7991395	5.27
7977592	4.7
8176336	7.15
7925170	5.95
8142763	7.84
8083025	5.72
8002987	9.76
7985266	6.39
7993110	4.58
8116662	5.42
8031840	4.75
7990636	6.26
8128936	4.81
8144503	5.27
8085287	11.24
8003056	8.03
8099807	9.83
8163892	6.47
8148463	5.28
8132513	5.37
8113124	7.77
8159984	7.59
8132399	9.7
7950140	6.52
8052594	5.63
7966441	8.21
8063444	8.84
8055016	7.39
8080847	7.32
7950883	5.43
8100756	5.26
8100754	6.12
7916018	5.36
7915951	3.86
8045341	8.01
8164008	6.93
7904429	5.96
7956876	11.94
8091712	4.94
7914500	6.17
8010560	5.38
7967025	6.96
7999384	7.39
8065363	5.86
8065120	5.23
8112998	4.81
8016232	6.39
7905589	8.67
7942998	5.77
7916568	6.61
7916566	4.13
8123981	6.54
8112306	3.49
8071642	6.53
7906017	6.88
7960878	6.57
8010963	6.11
7939374	7.45
8039975	3.56
8125527	5.31
8178882	5.31
8180076	5.31
8136179	8.25
8136177	10.15
8077815	7.52
8069998	10.35
7979870	5.86
7911343	13.47
8165703	13.47
8173912	8.11
7972973	6.54
8028190	6.25
8162247	7.51
7908730	4.64
7908728	6.06
8146427	9.74
8031837	7.98
8068046	5.62
8067965	4.48
7981326	7.05
8071084	6.34
7938261	5.36
7908861	8.22
8092702	6.53
8083407	6.34
8010778	6.53
7964577	4.85
8075981	5.77
7925413	6.58
8012928	3.52
7971727	3.54
8115828	3.67
8061136	11.41
7995803	6.72
7972977	6
8149132	7.27
7985030	7.29
8149208	7.77
8149148	7.73
7937936	6.44
7951108	8.19
7996569	6.44
8070853	7.07
7997724	5.72
7924821	3.21
7907907	5.26
8096027	3.68
7992895	6.49
8069174	7.1
7903401	3.94
7929243	8.88
7950299	6.07
7976808	6.13
8069511	7.01
8068363	5.04
8070681	6.37
8070891	6.54
8070386	6.2
8069200	5.94
8069135	6.59
8070896	6.77
8022436	3.49
8067836	3.75
8068052	3.44
8067825	4.71
7937474	6.55
7945974	5.85
8059213	5.78
8132248	6.14
8027744	5.86
8113071	7.23
7961173	5.65
7981488	7.77
7971159	5.3
8164692	5.95
8109821	12.39
8060086	9.78
7960088	7.63
8068100	4.06
8102979	6.34
8151629	6.24
8151617	7.28
8151621	7.28
8151625	7.28
8145291	8.28
8045289	7.65
7922018	4.9
8142878	11.07
8040221	6.62
7907986	4.38
7938756	8.86
7956285	6.1
7974481	10.2
8126296	6.23
7994267	6.39
8094936	6.83
8070328	5.37
8149320	4.8
8144639	5.52
8149318	3.31
8079420	6.16
8173176	6.19
7949440	6.85
8162231	6.8
8126259	9.23
7996288	3.24
7996286	6.12
8054465	6.5
8090349	7.71
7903389	9.42
8096682	4.55
8131412	5.8
8130783	5.08
8110706	6.59
8163428	8.08
8024882	5.98
8132245	5.24
8064430	7.04
8161697	5.2
8031973	6.87
8064188	8.37
8105144	8.45
8100547	5.89
8142770	7.04
7958346	7.38
8023868	6.62
7948834	6.07
8089596	9.1
8064415	6.08
8107328	6.24
7902808	5.43
7931387	6
8171798	5.5
8008700	6.43
8160274	4.68
8036686	8.31
8005687	7.33
8013268	7.37
8005231	7.27
7967454	5.68
8085272	6.2
8028192	6.36
7981523	6.73
7964575	7.44
7996917	5.98
7998053	6.16
8039692	6.13
7985023	6.88
8127502	6.73
8099817	5.65
7954692	6.14
7923972	4.67
8073816	7
8162998	5
7902848	9.31
8062601	4.24
8099537	6.6
8063449	7.87
8043570	7.1
7911699	6.37
8149718	5.77
7911681	6.22
8103853	6.57
7995377	7.76
8045146	7.56
7979957	4.85
8031981	6.57
8131140	6.63
8014071	5.67
8047763	8.37
7904693	6.13
8075963	7.36
8006606	3.65
7934968	4.8
8158212	7.27
7947674	9.01
7993265	5.99
8003243	6.76
7950442	5.24
8005555	7.34
8013327	7.34
7941746	7.06
8093943	8.01
8110666	8.1
8108192	7.6
7933129	7.03
7997861	5.26
8135512	5.89
8036479	8.1
7994570	6.36
7911112	5.61
7930559	6.37
8101011	4.53
8148692	5.8
8054866	5.49
8134460	5.83
7913850	7.1
8024331	6.53
7963696	5.56
8038874	5.63
8113879	8.12
7925031	5.04
8020717	4.65
8068735	4.3
7997731	6
8058201	9.22
7952488	6.09
8072796	6.11
7909140	5.54
7906194	7.06
8175442	5.32
7897076	7.16
7952882	5.85
8000411	6.05
8170198	4.8
7910381	6.01
7953735	6.96
8055404	7.39
7957673	5.15
7952950	6.12
8063209	5.51
8168412	8.23
8131967	5.21
8163533	6.65
8090511	6.42
8131965	7.32
8076584	7.5
7933638	6
7986444	6.77
7924863	5.7
8055139	6.75
8143937	6.21
8017704	7.68
8067543	6.88
8048699	7.15
8172654	6.29
8127128	7.51
7998405	8.31
8139107	5.72
8120247	6.3
8137131	8.42
8065278	6.04
7923885	6.36
8018972	6.42
8141661	6.07
8166585	5.99
8152742	6.09
7999550	5.47
7943349	6.96
8059985	6.49
8132832	6.29
8043583	5.55
7921342	6.29
8055682	3.95
7991542	6.06
8053610	9.9
8061414	6.9
8158145	7.51
8133074	8.66
8149084	4.74
7957092	6.17
8007803	6.23
7967700	5.84
7957503	5.48
7994730	5.92
8085749	5.72
8069083	7.03
7912638	5.37
8003846	7.06
8102982	6.88
8158666	6.73
8076193	5.81
8126379	7.74
7937772	8.28
8145529	6.51
7917151	6.46
8075846	6.36
8111930	6.01
8043018	6.45
8160912	7.34
7982348	6.51
8148978	5.38
7919139	6.22
8149216	6.72
8149218	6.82
8149220	6.82
8149222	6.82
8149224	6.82
8149165	6.87
8149167	6.87
