ID_REF	VALUE
7901495	4.97
7901712	4.12
7903026	3.12
7904867	2.7
7904946	2.7
7905039	2.89
7906233	3.67
7907464	6
7907747	3.11
7908155	4.79
7909125	3.71
7909283	9.86
7910676	7.03
7910946	2.87
7911094	3.02
7911108	6.57
7912207	4.96
7912625	3.83
7913799	3.14
7913803	3.88
7914038	4.28
7914139	9.14
7914350	6.92
7914807	3.9
7916075	4.6
7916491	5.4
7917735	3
7917739	4.88
7918153	7.78
7919153	4.43
7919403	4.43
7919574	3.46
7919778	3.54
7920025	7.68
7923003	3.04
7923440	6.58
7924205	3.27
7925126	3.92
7925318	3.73
7925440	5.52
7926383	4.38
7927548	10.59
7927706	6.8
7928328	2.86
7931928	3.05
7932614	4.24
7933088	3.62
7933178	7.73
7935142	5.5
7936282	2.95
7939640	4.69
7942061	5.85
7943734	3.46
7944111	5.09
7945031	4.73
7945728	4.27
7946659	5.91
7947932	3.39
7948033	5.8
7948139	3.25
7948397	4.94
7950030	4.92
7950282	7.44
7951349	5.42
7951435	9.26
7951668	4.71
7952396	5.75
7953761	4.35
7953763	6.9
7954602	7.03
7955421	3.15
7957006	3.47
7957497	3.28
7959572	2.63
7959823	3.18
7959825	4.63
7960359	13.01
7960846	3.84
7960863	7.19
7962248	3.66
7963588	3.84
7964598	4.65
7964629	3.74
7964685	3.28
7964720	2.94
7965842	9.12
7966425	4.94
7967032	6.46
7968252	7.26
7968970	3.8
7970945	3.48
7971124	10.02
7971367	3.47
7971903	2.88
7972414	4.74
7972709	3.7
7974192	3.36
7974687	3.46
7976152	5.66
7977117	3.49
7978909	7.56
7979131	5.84
7980688	3.56
7981779	3.25
7982935	10.31
7983270	3.55
7983377	2.86
7983391	3.28
7984188	7.08
7986635	3.81
7987308	2.92
7988342	4.65
7988344	5.46
7988348	3.32
7988412	5.28
7990806	3.16
7992067	6.84
7992131	6.14
7992136	7.09
7992742	3.95
7992841	6.75
7995523	4.68
7999171	6.07
8000614	3.82
8001183	2.88
8001348	6.18
8002027	6.12
8003226	5.06
8003857	8.44
8003889	6.03
8005433	7.68
8005992	2.88
8006081	7.07
8007497	3.5
8007499	4
8007501	4.91
8007605	3.27
8009006	4.63
8010186	6.18
8010210	3.64
8012841	5.45
8015796	9.5
8016733	10.48
8020453	4.96
8021013	5.27
8021683	3.48
8022043	8.97
8022174	4.27
8023061	6.26
8023547	2.78
8023644	3.42
8023755	4.31
8027266	4.6
8027429	7.9
8027437	7.09
8028002	5.87
8029278	4.29
8030826	5.11
8035787	3.88
8035859	6.55
8036170	5.9
8036172	7.3
8036557	11.85
8040336	3.93
8041636	5.24
8042460	3.39
8043022	5.35
